,s0_diff,s1_diff,s2_diff
0,0.0,8.400000000000006,0.0
1,2.0,8.400000000000063,0.0
2,18.0,8.999999999999972,0.6666666666666714
3,12.0,18.0,4.833333333333329
4,13.0,20.0,5.300000000000011
5,45.0,20.0,9.0
6,12.0,20.399999999999977,18.0
7,18.0,19.80000000000001,20.0
8,14.0,13.399999999999977,20.0
9,10.0,12.400000000000034,20.399999999999977
10,13.0,10.199999999999989,19.80000000000001
11,7.0,7.599999999999966,13.399999999999977
12,7.0,4.2000000000000455,12.400000000000034
13,1.0,0.19999999999998863,10.199999999999989
14,-7.0,-3.0,7.600000000000023
15,-7.0,-5.599999999999966,4.199999999999989
16,-9.0,-6.800000000000011,0.19999999999998863
17,-6.0,-5.599999999999966,-3.0
18,-5.0,-3.800000000000068,-5.600000000000023
19,-1.0,-2.3999999999999773,-6.7999999999999545
20,2.0,-1.6000000000000227,-5.600000000000023
21,-2.0,-1.1999999999999886,-3.8000000000000114
22,-2.0,-1.8000000000000114,-2.3999999999999773
23,-3.0,-2.7999999999999545,-1.6000000000000227
24,-4.0,-2.200000000000017,-1.1999999999999886
25,-3.0,-1.4000000000000057,-1.8000000000000114
26,1.0,-0.20000000000001705,-2.8000000000000114
27,2.0,1.400000000000034,-2.1999999999999886
28,3.0,1.4000000000000057,-1.3999999999999773
29,4.0,0.0,-0.20000000000001705
30,-3.0,-0.8000000000000114,1.4000000000000057
31,-6.0,-0.8000000000000114,1.3999999999999773
32,-2.0,0.19999999999998863,0.0
33,3.0,3.400000000000034,-0.799999999999983
34,9.0,6.599999999999966,-0.799999999999983
35,13.0,6.599999999999966,0.19999999999998863
36,10.0,6.800000000000011,3.3999999999999773
37,-2.0,4.800000000000011,6.600000000000023
38,4.0,2.0,6.600000000000023
39,-1.0,0.39999999999997726,6.7999999999999545
40,-1.0,0.4000000000000341,4.800000000000011
41,2.0,-0.8000000000000114,2.0
42,-2.0,-0.39999999999997726,0.4000000000000341
43,-2.0,-0.4000000000000341,0.39999999999997726
44,1.0,-0.19999999999998863,-0.8000000000000114
45,-1.0,0.39999999999997726,-0.39999999999997726
46,3.0,1.6000000000000227,-0.4000000000000341
47,1.0,1.2000000000000455,-0.19999999999998863
48,4.0,0.7999999999999545,0.4000000000000341
49,-1.0,0.4000000000000341,1.599999999999966
50,-3.0,1.599999999999966,1.1999999999999886
51,1.0,3.0,0.8000000000000114
52,7.0,4.399999999999977,0.4000000000000341
53,11.0,4.0,1.599999999999966
54,6.0,3.2000000000000455,3.0
55,-5.0,1.599999999999966,4.400000000000034
56,-3.0,-1.9999999999999432,4.0
57,-1.0,-4.800000000000068,3.1999999999999886
58,-7.0,-5.199999999999989,1.599999999999966
59,-8.0,-5.7999999999999545,-2.0
60,-7.0,-7.600000000000023,-4.7999999999999545
61,-6.0,-10.600000000000023,-5.2000000000000455
62,-10.0,-10.799999999999955,-5.7999999999999545
63,-22.0,-9.400000000000006,-7.600000000000023
64,-9.0,-7.800000000000011,-10.600000000000023
65,0.0,-5.999999999999972,-10.799999999999955
66,2.0,-2.8000000000000114,-9.400000000000034
67,-1.0,-1.6000000000000227,-7.799999999999983
68,-6.0,-2.1999999999999886,-6.0
69,-3.0,-4.0,-2.8000000000000114
70,-3.0,-4.199999999999989,-1.5999999999999943
71,-7.0,-2.4000000000000057,-2.1999999999999886
72,-2.0,-1.0000000000000284,-4.0
73,3.0,0.20000000000004547,-4.200000000000017
74,4.0,9.199999999999989,-2.4000000000000057
75,3.0,12.599999999999966,-1.0
76,38.0,12.200000000000045,0.20000000000001705
77,15.0,12.199999999999932,9.199999999999989
78,1.0,12.400000000000034,12.599999999999994
79,4.0,5.0,12.200000000000017
80,4.0,1.3999999999999773,12.200000000000017
81,1.0,5.684341886080802e-14,12.399999999999977
82,-3.0,-2.6000000000000227,5.0
83,-6.0,-7.400000000000034,1.3999999999999773
84,-9.0,-10.399999999999977,0.0
85,-20.0,-12.999999999999972,-2.599999999999966
86,-14.0,-15.400000000000006,-7.400000000000034
87,-16.0,-17.400000000000034,-10.399999999999977
88,-18.0,-14.599999999999966,-13.0
89,-19.0,-13.599999999999994,-15.400000000000006
90,-6.0,-12.200000000000017,-17.400000000000006
91,-9.0,-10.399999999999977,-14.599999999999994
92,-9.0,-8.400000000000006,-13.599999999999994
93,-9.0,-8.599999999999994,-12.199999999999989
94,-9.0,-8.200000000000017,-10.400000000000006
95,-7.0,-7.599999999999994,-8.400000000000006
96,-7.0,-7.599999999999994,-8.599999999999994
97,-6.0,-6.0,-8.200000000000017
98,-9.0,-5.199999999999989,-7.599999999999994
99,-1.0,-4.0,-7.599999999999994
100,-3.0,-2.8000000000000114,-6.0
101,-1.0,-0.4000000000000057,-5.200000000000003
102,0.0,2.842170943040401e-14,-4.0
103,3.0,0.19999999999998863,-2.799999999999997
104,1.0,0.0,-0.4000000000000057
105,-2.0,-0.4000000000000057,0.0
106,-2.0,-1.0,0.20000000000000284
107,-2.0,-1.0,0.0
108,0.0,-0.7999999999999972,-0.3999999999999915
109,1.0,-0.9999999999999858,-1.0
110,-1.0,-1.0000000000000142,-1.0
111,-3.0,-1.3999999999999915,-0.8000000000000114
112,-2.0,-1.8000000000000114,-1.0
113,-2.0,-1.5999999999999943,-1.0
114,-1.0,-1.3999999999999915,-1.3999999999999915
115,0.0,-1.7999999999999972,-1.7999999999999972
116,-2.0,-2.6000000000000227,-1.6000000000000085
117,-4.0,-2.5999999999999943,-1.3999999999999915
118,-6.0,-2.5999999999999943,-1.8000000000000114
119,-1.0,-2.0,-2.5999999999999943
120,0.0,-0.7999999999999972,-2.5999999999999943
121,1.0,0.5999999999999943,-2.6000000000000085
122,2.0,1.2000000000000028,-2.0
123,1.0,1.2000000000000028,-0.7999999999999972
124,2.0,0.5999999999999943,0.5999999999999943
125,0.0,-0.3999999999999915,1.2000000000000028
126,-2.0,-1.0,1.2000000000000028
127,-3.0,-1.6000000000000085,0.5999999999999943
128,-2.0,-1.3999999999999915,-0.3999999999999915
129,-1.0,-0.8000000000000114,-1.0
130,1.0,0.0,-1.6000000000000085
131,1.0,0.8000000000000114,-1.3999999999999915
132,1.0,1.0,-0.7999999999999972
133,2.0,0.799999999999983,0.0
134,0.0,0.6000000000000085,0.7999999999999972
135,0.0,0.6000000000000085,1.0
136,0.0,0.5999999999999943,0.7999999999999972
137,1.0,1.0,0.5999999999999943
138,2.0,1.2000000000000028,0.6000000000000085
139,2.0,1.1999999999999886,0.5999999999999943
140,1.0,1.0000000000000142,1.0
141,0.0,0.5999999999999943,1.2000000000000028
142,0.0,-0.20000000000000284,1.2000000000000028
143,0.0,-1.0,1.0
144,-2.0,-1.3999999999999915,0.5999999999999943
145,-3.0,-1.6000000000000085,-0.20000000000000284
146,-2.0,-1.5999999999999943,-1.0
147,-1.0,-1.6000000000000085,-1.3999999999999915
148,0.0,-2.3999999999999915,-1.6000000000000085
149,-2.0,-2.799999999999997,-1.5999999999999943
150,-7.0,-2.5999999999999943,-1.5999999999999943
151,-4.0,-2.000000000000014,-2.4000000000000057
152,0.0,-0.7999999999999972,-2.799999999999997
153,3.0,1.4000000000000057,-2.6000000000000085
154,4.0,2.999999999999986,-2.0
155,4.0,3.799999999999997,-0.7999999999999972
156,4.0,4.400000000000006,1.4000000000000057
157,4.0,4.6000000000000085,3.0
158,6.0,4.0,3.799999999999997
159,5.0,4.0,4.400000000000006
160,1.0,3.200000000000003,4.599999999999994
161,4.0,1.7999999999999972,4.0
162,0.0,0.3999999999999915,4.0
163,-1.0,0.0,3.200000000000003
164,-2.0,-1.3999999999999915,1.7999999999999972
165,-1.0,-2.6000000000000085,0.4000000000000057
166,-3.0,-3.0,0.0
167,-6.0,-2.0,-1.4000000000000057
168,-3.0,-0.5999999999999943,-2.5999999999999943
169,3.0,0.4399999999999977,-3.0
170,6.0,2.0799999999999983,-2.0
171,2.200000000000003,3.1200000000000045,-0.6000000000000085
172,2.200000000000003,2.9599999999999937,0.4399999999999977
173,2.1999999999999886,2.1999999999999886,2.0800000000000125
174,2.200000000000003,1.7600000000000193,3.1200000000000045
175,2.200000000000003,1.9199999999999875,2.9599999999999937
176,0.0,2.8799999999999955,2.1999999999999886
177,3.0,4.840000000000003,1.759999999999991
178,7.0,7.599999999999994,1.920000000000016
179,12.0,11.0,2.8799999999999955
180,16.0,13.200000000000017,4.840000000000003
181,17.0,14.400000000000006,7.599999999999994
182,14.0,14.399999999999977,11.0
183,13.0,13.0,13.200000000000017
184,12.0,12.0,14.399999999999977
185,9.0,11.999999999999972,14.400000000000006
186,12.0,10.800000000000011,13.0
187,14.0,10.200000000000017,12.0
188,7.0,9.599999999999994,12.0
189,9.0,8.0,10.800000000000011
190,6.0,5.200000000000017,10.199999999999989
191,4.0,3.999999999999943,9.599999999999994
192,0.0,2.0,8.0
193,1.0,1.6000000000000227,5.199999999999989
194,-1.0,1.1999999999999886,4.0
195,4.0,1.0,2.0
196,2.0,0.8000000000000114,1.6000000000000227
197,-1.0,1.1999999999999886,1.1999999999999886
198,0.0,0.4000000000000341,1.0
199,1.0,0.39999999999997726,0.8000000000000114
200,0.0,0.8000000000000114,1.1999999999999886
201,2.0,1.1999999999999886,0.4000000000000341
202,1.0,1.8000000000000114,0.39999999999997726
203,2.0,3.599999999999966,0.8000000000000114
204,4.0,5.000000000000057,1.1999999999999886
205,9.0,5.7999999999999545,1.8000000000000114
206,9.0,6.600000000000023,3.599999999999966
207,5.0,7.199999999999989,5.0
208,6.0,7.0,5.800000000000011
209,7.0,7.399999999999977,6.600000000000023
210,8.0,8.400000000000034,7.199999999999989
211,11.0,7.199999999999989,7.0
212,10.0,5.0,7.399999999999977
213,0.0,1.0,8.400000000000034
214,-4.0,-4.0,7.199999999999989
215,-12.0,-9.400000000000034,5.0
216,-14.0,-12.0,1.0
217,-17.0,-13.399999999999977,-4.0
218,-13.0,-12.0,-9.399999999999977
219,-11.0,-10.399999999999977,-12.0
220,-5.0,-7.399999999999977,-13.400000000000034
221,-6.0,-4.400000000000034,-12.0
222,-2.0,-2.3999999999999773,-10.399999999999977
223,2.0,-1.6000000000000227,-7.400000000000034
224,-1.0,-0.9999999999999432,-4.399999999999977
225,-1.0,-1.6000000000000227,-2.3999999999999773
226,-3.0,-2.3999999999999773,-1.6000000000000227
227,-5.0,-2.0000000000000284,-1.0
228,-2.0,-2.200000000000017,-1.6000000000000227
229,1.0,-6.800000000000011,-2.3999999999999773
230,-2.0,-7.600000000000023,-2.0
231,-26.0,-7.399999999999977,-2.1999999999999886
232,-9.0,-6.800000000000011,-6.800000000000011
233,-1.0,-5.599999999999966,-7.599999999999994
234,4.0,-0.8000000000000114,-7.400000000000006
235,4.0,-0.8000000000000114,-6.800000000000011
236,-2.0,-5.399999999999977,-5.599999999999994
237,-9.0,-10.800000000000011,-0.799999999999983
238,-24.0,-16.80000000000001,-0.8000000000000114
239,-23.0,-21.399999999999977,-5.400000000000006
240,-26.0,-22.799999999999983,-10.799999999999983
241,-25.0,-20.0,-16.80000000000001
242,-16.0,-17.0,-21.400000000000006
243,-10.0,-12.800000000000011,-22.799999999999983
244,-8.0,-8.799999999999983,-20.000000000000014
245,-5.0,-6.599999999999994,-17.0
246,-5.0,-4.800000000000011,-12.799999999999997
247,-5.0,-2.799999999999997,-8.799999999999997
248,-1.0,-1.3999999999999915,-6.6000000000000085
249,2.0,0.19999999999998863,-4.799999999999997
250,2.0,2.0,-2.799999999999997
251,3.0,3.799999999999997,-1.4000000000000057
252,4.0,5.200000000000003,0.20000000000000284
253,8.0,6.400000000000006,2.0
254,9.0,6.999999999999986,3.799999999999997
255,8.0,7.0,5.200000000000003
256,6.0,6.200000000000003,6.400000000000006
257,4.0,5.199999999999989,7.0
258,4.0,3.4000000000000057,7.0
259,4.0,2.200000000000017,6.200000000000003
260,-1.0,2.1999999999999886,5.199999999999989
261,0.0,2.799999999999997,3.4000000000000057
262,4.0,3.200000000000003,2.200000000000003
